                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    101,                 1.3034,                0.57003,                0.91579,                0.96501,                0.97292,                0.97477,                0.64905,                 1.5831,                0.56375,                 1.0011,              0.0013381,              0.0013381,              0.0013381
                    102,                 1.2488,                  0.549,                0.91211,                0.95762,                0.98718,                0.97748,                0.63489,                 1.6231,                0.56227,                0.99648,              0.0013348,              0.0013348,              0.0013348
                    103,                 1.2987,                0.57407,                0.94356,                0.97679,                      1,                0.98988,                0.62213,                   1.68,                0.55742,                 1.0022,              0.0013315,              0.0013315,              0.0013315
                    104,                 1.2687,                0.55742,                0.93127,                0.98618,                0.97316,                0.97583,                0.63596,                 1.6066,                0.56495,                 1.0094,              0.0013282,              0.0013282,              0.0013282
                    105,                 1.2929,                0.52547,                0.91062,                0.97983,                0.94302,                0.94508,                0.63837,                 1.5689,                0.54573,                 1.0027,              0.0013249,              0.0013249,              0.0013249
                    106,                 1.1937,                0.51057,                0.92164,                0.96738,                0.97201,                0.97218,                0.63347,                  1.652,                0.53943,                 1.0111,              0.0013216,              0.0013216,              0.0013216
                    107,                 1.2317,                0.54474,                0.92423,                0.97094,                0.97436,                0.95701,                0.61812,                 1.7148,                 0.5507,                 1.0254,              0.0013184,              0.0013184,              0.0013184
                    108,                 1.2318,                   0.55,                 0.9049,                0.97632,                0.96915,                0.97367,                0.65031,                 1.6007,                0.55085,                  1.008,              0.0013151,              0.0013151,              0.0013151
                    109,                 1.2219,                0.52305,                0.94399,                0.97531,                0.98718,                0.97759,                0.65607,                  1.602,                0.53656,                 1.0001,              0.0013118,              0.0013118,              0.0013118
                    110,                 1.2205,                0.52459,                0.93089,                0.96315,                0.98718,                0.97683,                0.64642,                 1.6314,                 0.5307,                 1.0046,              0.0013085,              0.0013085,              0.0013085
                    111,                 1.1562,                0.50852,                0.88395,                0.97967,                0.93732,                0.96048,                0.63414,                 1.6601,                0.54107,                 1.0098,              0.0013052,              0.0013052,              0.0013052
                    112,                 1.2301,                 0.5172,                0.90644,                0.98001,                0.95584,                0.96086,                 0.6212,                 1.5916,                0.55659,                 1.0019,              0.0013019,              0.0013019,              0.0013019
                    113,                 1.1642,                0.51376,                0.89935,                0.96007,                0.94929,                0.96294,                0.62622,                 1.5583,                0.54587,                 1.0021,              0.0012986,              0.0012986,              0.0012986
                    114,                 1.2432,                0.53914,                0.89651,                0.96725,                0.97436,                0.97695,                0.63249,                  1.577,                0.52562,                0.99706,              0.0012953,              0.0012953,              0.0012953
                    115,                 1.2567,                0.53336,                0.89779,                0.95954,                0.97392,                0.97235,                0.63634,                 1.5903,                0.52647,                0.99245,               0.001292,               0.001292,               0.001292
                    116,                 1.2691,                0.53207,                0.93474,                0.96676,                0.94034,                0.95019,                0.63218,                 1.5775,                0.53573,                0.99716,              0.0012888,              0.0012888,              0.0012888
                    117,                 1.1804,                 0.5134,                0.90693,                0.98218,                0.95948,                0.96687,                0.66203,                 1.5963,                0.52034,                0.99731,              0.0012855,              0.0012855,              0.0012855
                    118,                 1.1288,                0.49805,                0.89492,                 0.9843,                0.95919,                0.96893,                0.65513,                 1.5738,                0.51783,                0.99864,              0.0012822,              0.0012822,              0.0012822
                    119,                 1.2275,                0.52158,                0.92053,                0.97984,                0.95754,                0.96801,                0.63914,                 1.5789,                0.53164,                 1.0122,              0.0012789,              0.0012789,              0.0012789
                    120,                  1.099,                0.49306,                0.90656,                0.98645,                0.95602,                0.96994,                0.64336,                 1.5743,                 0.5438,                  1.002,              0.0012756,              0.0012756,              0.0012756
                    121,                 1.1617,                 0.4881,                0.89627,                0.97751,                 0.9591,                0.96959,                0.63081,                 1.6157,                0.54335,                 1.0094,              0.0012723,              0.0012723,              0.0012723
                    122,                 1.1714,                0.49948,                0.91432,                0.96897,                0.96154,                0.96894,                0.61208,                 1.6882,                0.55082,                 1.0347,               0.001269,               0.001269,               0.001269
